province,year,total_count,PM25_dcount
BANGKOK,2016,158,33.81816973
CHANGWAT AMNAT CHAROEN,2016,335,35.3652503
CHANGWAT ANG THONG,2016,99,34.17269928
CHANGWAT BUENG KAN,2016,410,38.43292966
CHANGWAT BURI RAM,2016,1023,34.63574906
CHANGWAT CHACHOENGSAO,2016,527,32.7291357
CHANGWAT CHAI NAT,2016,259,35.37564306
CHANGWAT CHAIYAPHUM,2016,1302,35.59167434
CHANGWAT CHANTHABURI,2016,650,32.40727374
CHANGWAT CHIANG MAI,2016,2305,32.97940222
CHANGWAT CHIANG RAI,2016,1214,40.78792558
CHANGWAT CHON BURI,2016,453,35.12405327
CHANGWAT CHUMPHON,2016,601,29.82954046
CHANGWAT KALASIN,2016,711,38.18529639
CHANGWAT KAMPHAENG PHET,2016,879,37.94511121
CHANGWAT KANCHANABURI,2016,1977,35.01216929
CHANGWAT KHON KAEN,2016,1097,35.98171404
CHANGWAT KRABI,2016,531,27.40849406
CHANGWAT LAMPANG,2016,1301,39.27955744
CHANGWAT LAMPHUN,2016,465,34.65821466
CHANGWAT LOEI,2016,1081,37.06400898
CHANGWAT LOP BURI,2016,663,34.92995907
CHANGWAT MAE HONG SON,2016,1335,31.56096018
CHANGWAT MAHA SARAKHAM,2016,571,34.47100533
CHANGWAT MUKDAHAN,2016,417,36.88241038
CHANGWAT NAKHON NAYOK,2016,220,31.94797296
CHANGWAT NAKHON PATHOM,2016,222,34.87002776
CHANGWAT NAKHON PHANOM,2016,579,35.29097524
CHANGWAT NAKHON RATCHASIMA,2016,2118,34.23163018
CHANGWAT NAKHON SAWAN,2016,973,36.3451333
CHANGWAT NAKHON SI THAMMARAT,2016,984,28.57307211
CHANGWAT NAN,2016,1270,41.10149378
CHANGWAT NARATHIWAT,2016,445,27.11936063
CHANGWAT NONG BUA LAM PHU,2016,425,37.06217234
CHANGWAT NONG KHAI,2016,344,38.85021624
CHANGWAT NONTHABURI,2016,63,34.16447119
CHANGWAT PATHUM THANI,2016,151,32.78963849
CHANGWAT PATTANI,2016,201,28.78517597
CHANGWAT PHANGNGA,2016,454,28.10644366
CHANGWAT PHATTHALUNG,2016,384,27.67045013
CHANGWAT PHAYAO,2016,646,42.0428345
CHANGWAT PHETCHABUN,2016,1271,35.08747311
CHANGWAT PHETCHABURI,2016,625,34.16699297
CHANGWAT PHICHIT,2016,446,36.79581761
CHANGWAT PHITSANULOK,2016,1086,37.0922264
CHANGWAT PHRA NAKHON SI AYUTTHAYA,2016,264,34.11601047
CHANGWAT PHRAE,2016,671,41.04935224
CHANGWAT PHUKET,2016,52,29.91292126
CHANGWAT PRACHIN BURI,2016,509,31.5370779
CHANGWAT PRACHUAP KHIRI KHAN,2016,646,33.29029378
CHANGWAT RANONG,2016,324,28.48144529
CHANGWAT RATCHABURI,2016,527,36.30105416
CHANGWAT RAYONG,2016,373,33.76707174
CHANGWAT ROI ET,2016,801,35.84002865
CHANGWAT SA KAEO,2016,691,33.72647179
CHANGWAT SAKON NAKHON,2016,990,35.66962746
CHANGWAT SAMUT PRAKAN,2016,99,36.16990147
CHANGWAT SAMUT SAKHON,2016,88,36.38567883
CHANGWAT SAMUT SONGKHRAM,2016,43,35.84385905
CHANGWAT SARABURI,2016,353,35.39215988
CHANGWAT SATUN,2016,306,27.91929994
CHANGWAT SI SA KET,2016,900,38.1418627
CHANGWAT SING BURI,2016,82,35.13798853
CHANGWAT SONGKHLA,2016,770,29.1703601
CHANGWAT SUKHOTHAI,2016,692,36.90910601
CHANGWAT SUPHAN BURI,2016,552,34.75943998
CHANGWAT SURAT THANI,2016,1313,28.1357907
CHANGWAT SURIN,2016,904,35.81634799
CHANGWAT TAK,2016,1781,34.44214881
