province,province_en,year,health_region,population,population_total,population_floating_night,population_floating_study,population_floating_work,population_density,province_area_sqkm,number_of_wildfire,wildfire_area_rai,wildfire_area_sqkm,wildfire_area_percent,pm25_avg,pm25_total_count,dementia,alcoholism,amphetamine,addict_substance,schizophrenia,other_phy,bipolar,depression,anxiety,low_iq,learning_disorder,autistics,adhd,suicide,game_adult,game_child,other_disease,seizure,total_mental_cases
กระบี่,Krabi,2015,11,458768.0,,,,,,,3.0,15.86,0.025376,,,,116.0,120.0,0.0,144.0,3859.0,0.0,0.0,1019.0,2329.0,223.0,94.0,162.0,20.0,34.0,0.0,0.0,549.0,851.0,9520.0
กรุงเทพมหานคร,Bangkok,2015,13,5648978.0,,,,,,,,,,,,,40.0,57.0,0.0,46.0,1282.0,0.0,0.0,766.0,1190.0,19.0,5.0,14.0,2.0,18.0,0.0,0.0,2062.0,145.0,5646.0
กาญจนบุรี,Kanchanaburi,2015,5,827932.0,,,,,,,184.0,2148.0,3.4368000000000003,,,,37.0,43.0,0.0,55.0,3346.0,0.0,0.0,2575.0,2566.0,12.0,6.0,5.0,1.0,37.0,0.0,0.0,2707.0,160.0,11550.0
กาฬสินธุ์,Kalasin,2015,7,984750.0,,,,,,,43.0,298.0,0.4768,,,,118.0,405.0,0.0,639.0,7821.0,0.0,0.0,3537.0,8122.0,133.0,23.0,32.0,2.0,60.0,0.0,0.0,2073.0,986.0,23951.0
กำแพงเพชร,Kamphaeng Phet,2015,3,729296.0,,,,,,,43.0,811.0,1.2976,,,,47.0,400.0,0.0,497.0,3750.0,0.0,0.0,4376.0,4680.0,62.0,101.0,29.0,4.0,73.0,0.0,0.0,2921.0,523.0,17463.0
ขอนแก่น,Khon Kaen,2015,7,1792717.0,,,,,,,93.0,1548.0,2.4768000000000003,,,,166.0,1094.0,0.0,232.0,12877.0,0.0,0.0,3660.0,18529.0,122.0,462.0,15.0,3.0,181.0,0.0,0.0,3133.0,1557.0,42031.0
จันทบุรี,Chanthaburi,2015,6,528034.0,,,,,,,2.0,7.0,0.0112,,,,307.0,559.0,0.0,143.0,6628.0,0.0,0.0,2242.0,3099.0,203.0,77.0,142.0,7.0,107.0,0.0,0.0,1633.0,1609.0,16756.0
ฉะเชิงเทรา,Chachoengsao,2015,6,696837.0,,,,,,,6.0,1351.0,2.1616,,,,33.0,38.0,0.0,59.0,3699.0,0.0,0.0,2375.0,2669.0,11.0,16.0,7.0,1.0,22.0,0.0,0.0,2731.0,207.0,11868.0
ชลบุรี,Chon Buri,2015,6,1431104.0,,,,,,,39.0,634.0,1.0144,,,,115.0,344.0,0.0,381.0,5156.0,0.0,0.0,2245.0,5952.0,178.0,77.0,64.0,11.0,211.0,0.0,0.0,3448.0,1496.0,19678.0
ชัยนาท,Chai Nat,2015,3,331816.0,,,,,,,,,,,,,59.0,117.0,0.0,111.0,2085.0,0.0,0.0,1895.0,4752.0,41.0,6.0,25.0,1.0,19.0,0.0,0.0,2313.0,256.0,11680.0
ชัยภูมิ,Chaiyaphum,2015,9,1137238.0,,,,,,,155.0,3211.0,5.1376,,,,42.0,447.0,0.0,499.0,7339.0,0.0,0.0,5699.0,7478.0,69.0,68.0,13.0,1.0,36.0,0.0,0.0,2287.0,349.0,24327.0
ชุมพร,Chumphon,2015,11,501376.0,,,,,,,11.0,332.66,0.5322560000000001,,,,0.0,7.0,0.0,7.0,2145.0,0.0,0.0,652.0,2528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,5384.0
ตรัง,Trang,2015,12,639221.0,,,,,,,8.0,122.0,0.1952,,,,3.0,5.0,0.0,8.0,3032.0,0.0,0.0,3629.0,4132.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,49.0,18.0,10880.0
ตราด,Trat,2015,6,221824.0,,,,,,,2.0,18.0,0.028800000000000003,,,,34.0,19.0,0.0,24.0,1504.0,0.0,0.0,614.0,1047.0,22.0,2.0,7.0,0.0,2.0,0.0,0.0,56.0,179.0,3510.0
